iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
100,7.239,13107200,66902,38,33.07,0.158,7.32,1.0,0.0,2.764,-0.0031,0.0618,0.0062,0.074,0.925,0.0,0.82,,,,0.799,0.95,0.025,0.806,0.78,0.125,0.936
101,7.288,13238272,45329,26,28.59,0.154,7.42,0.667,0.333,2.755,-0.003,0.0644,0.0065,0.076,,,,,,,,,,,,,
102,7.329,13369344,53146,29,33.78,0.172,6.93,0.286,0.714,2.75,-0.0023,0.0482,0.0058,0.069,,,,,,,,,,,,,
103,7.381,13500416,42258,25,32.19,0.12,7.2,0.571,0.429,2.747,-0.0023,0.0443,0.0073,0.081,,,,,,,,,,,,,
104,7.431,13631488,43131,25,35.9,0.28,7.0,0.75,0.25,2.731,-0.0028,0.0562,0.0061,0.07,,,,,,,,,,,,,
105,7.467,13762560,61535,37,34.61,0.243,6.84,0.833,0.083,2.732,-0.0028,0.0552,0.0071,0.082,,,,,,,,,,,,,
106,7.506,13893632,55813,35,38.56,0.257,6.91,0.857,0.143,2.742,-0.0028,0.0751,0.0065,0.075,,,,,,,,,,,,,
107,7.557,14024704,43165,35,32.68,0.229,7.37,0.333,0.417,2.732,-0.0023,0.0578,0.0066,0.076,,,,,,,,,,,,,
108,7.602,14155776,48093,29,29.71,0.138,7.03,0.429,0.429,2.75,-0.0029,0.0647,0.0064,0.068,,,,,,,,,,,,,
109,7.642,14286848,54207,30,34.94,0.2,7.9,0.667,0.333,2.737,-0.0026,0.0789,0.0058,0.061,,,,,,,,,,,,,
110,7.687,14417920,48621,27,35.3,0.222,6.89,0.75,0.25,2.742,-0.0029,0.0689,0.0058,0.06,,,,,,,,,,,,,
111,7.73,14548992,50774,40,35.56,0.15,7.35,0.583,0.25,2.755,-0.0028,0.0795,0.0059,0.068,,,,,,,,,,,,,
112,7.774,14680064,49571,39,30.46,0.128,7.23,0.286,0.714,2.768,-0.003,0.0621,0.0063,0.068,,,,,,,,,,,,,
113,7.809,14811136,62374,31,35.18,0.161,7.35,0.25,0.5,2.774,-0.0028,0.0628,0.0062,0.072,,,,,,,,,,,,,
114,7.845,14942208,61788,36,34.12,0.139,7.44,0.5,0.375,2.761,-0.0027,0.0663,0.0054,0.061,,,,,,,,,,,,,
115,7.879,15073280,63878,39,30.71,0.154,7.46,0.818,0.091,2.74,-0.0033,0.0869,0.0062,0.07,,,,,,,,,,,,,
116,7.913,15204352,64196,44,29.24,0.136,6.89,0.8,0.1,2.747,-0.0022,0.0764,0.0057,0.066,,,,,,,,,,,,,
117,7.946,15335424,65828,36,31.09,0.056,7.72,0.917,0.083,2.75,-0.0027,0.0779,0.0063,0.069,,,,,,,,,,,,,
118,7.98,15466496,64613,38,35.69,0.184,7.42,0.5,0.25,2.739,-0.0026,0.0781,0.0064,0.075,,,,,,,,,,,,,
